SiglecF+Tdtomato-	SiglecF+Tdotomato+
16.66666667	66.66666667
13.1147541	83.92857143
14.58333333	84
16.66666667	72.22222222
24.3902439	84.90566038
15.68627451	65.27777778
20.83333333	77.77777778
11.11111111	73.07692308
16.66666667	72.09302326
21.27659574	63.41463415
24.3902439	76.66666667
15	72.28915663
23.72881356	80.21978022
20	82.75862069
20.83333333	78.89908257
